"journal","name","paperCount","citationCount","rank","issn"
"http://ma-graph.org/entity/102399824","Quality &amp; Quantity",2957,31827,10499,"0033-5177"
"http://ma-graph.org/entity/1024009979","Zeitschrift für die Neutestamentliche Wissenschaft",68,15,14922,"0044-2615"
"http://ma-graph.org/entity/1024089427","Nukleonik",33,20,15701,"0550-3612"
"http://ma-graph.org/entity/1025063068","Psychological Science in the Public Interest",98,17743,11745,"1529-1006"
"http://ma-graph.org/entity/1025121518","Journal of the British Dragonfly Society",1,0,19277,"1357-2342"
"http://ma-graph.org/entity/1025326569","The Florida Review",3,0,18178,"0742-2466"
"http://ma-graph.org/entity/102549058","Molecular Microbiology",13367,788424,7830,"0950-382X"
"http://ma-graph.org/entity/1025651671","Corporate Rescue and Insolvency Journal",1,0,19277,"1756-2465"
"http://ma-graph.org/entity/1025740533","Prescrire",164,30,14117,"0247-7750"
"http://ma-graph.org/entity/1025762778","Philosophy, Psychiatry, &amp; Psychology",1097,6480,11702,"1071-6076"
"http://ma-graph.org/entity/1028556770","Avant: Journal of the Philosophical-Interdisciplinary Vanguard",226,71,13828,"2082-7598"
"http://ma-graph.org/entity/10288104","European Journal of Social Psychology",3412,96822,9640,"0046-2772"
"http://ma-graph.org/entity/102902149","Annals of Tropical Paediatrics",1708,20671,10775,"0272-4936"
"http://ma-graph.org/entity/102916872","Oral Oncology",5043,93262,9748,"1368-8375"
"http://ma-graph.org/entity/102976925","The Cambridge Quarterly",1401,890,11783,"0008-199X"
"http://ma-graph.org/entity/1030498949","Scanning: The Journal of Scanning Microscopies",1,0,19277,"0161-0457"
"http://ma-graph.org/entity/1031084011","Clinical Medicine: Oncology",111,633,14235,"1179-5549"
"http://ma-graph.org/entity/103229351","Leonardo",8976,54732,9117,"0024-094X"
"http://ma-graph.org/entity/103311983","Journal of Advertising",1699,71494,10254,"0091-3367"
"http://ma-graph.org/entity/1033543022","The European Journal of International Affairs",3,2,18148,"0394-6444"
"http://ma-graph.org/entity/103356783","Integrative and Comparative Biology",5138,180006,9173,"1557-7023"
"http://ma-graph.org/entity/103359281","Medical Decision Making",2554,76594,9607,"0272-989X"
"http://ma-graph.org/entity/103398315","Spectrochimica Acta Part B: Atomic Spectroscopy",7010,123330,9313,"0584-8547"
"http://ma-graph.org/entity/1034150229","The Sewanee Review",1221,271,12125,"0037-3052"
"http://ma-graph.org/entity/1034709837","Edda. Scandinavian Journal of Literary Research",4,0,17891,"0013-0818"
"http://ma-graph.org/entity/103486911","Journal of AOAC International",5597,70457,9747,"1060-3271"
"http://ma-graph.org/entity/1035749845","The Princeton Theological Review",19,3,16277,"1945-4813"
"http://ma-graph.org/entity/1036695997","Lecciones y Ensayos",793,103,12539,"0024-0079"
"http://ma-graph.org/entity/103671469","Discrete and Computational Geometry",2348,45226,9909,"0179-5376"
"http://ma-graph.org/entity/103676256","Torture",48,91,15084,"1018-8185"
"http://ma-graph.org/entity/1036776272","Haifa Law Review",4,0,17891,"0792-8521"
"http://ma-graph.org/entity/1037895521","Thought: Fordham University Quarterly",4801,2136,10491,"0040-6457"
"http://ma-graph.org/entity/103870658","PLOS Genetics",8382,339077,8847,"1553-7390"
"http://ma-graph.org/entity/1039677343","Biblical Archaeology Review",333,537,12855,"0098-9444"
"http://ma-graph.org/entity/104160329","The Independent Review",728,2796,12256,"1086-1653"
"http://ma-graph.org/entity/1041658305","Irish Birds",9,5,17040,"0332-0111"
"http://ma-graph.org/entity/104206441","NASSP Bulletin",12577,27332,9540,"0192-6365"
"http://ma-graph.org/entity/1042507638","Journal of the American Podiatric Medical Association",5931,34155,10039,"8750-7315"
"http://ma-graph.org/entity/1043257","Acta Oncologica",6933,111327,9271,"0284-186X"
"http://ma-graph.org/entity/104375418","Diabetologia",14350,582339,7867,"0012-186X"
"http://ma-graph.org/entity/104377164","Journal of Manipulative and Physiological Therapeutics",3203,49926,10142,"0161-4754"
"http://ma-graph.org/entity/1044633313","Queen&#039;s Law Journal",29,48,15699,"0316-778X"
"http://ma-graph.org/entity/10446503","Environmental Health Perspectives",15962,656689,7943,"0091-6765"
"http://ma-graph.org/entity/104503141","Herald of the Russian Academy of Sciences",953,995,12271,"1019-3316"
"http://ma-graph.org/entity/1045254269","Journal of Diplomacy and International Relations",1,0,19277,"1538-6589"
"http://ma-graph.org/entity/104733706","Journal of Women&#039;s History",1511,6579,11045,"1042-7961"
"http://ma-graph.org/entity/104840215","Acadiensis",917,1510,11863,"0044-5851"
"http://ma-graph.org/entity/104921184","The Physics Teacher",13118,20210,9341,"0031-921X"
"http://ma-graph.org/entity/104924063","Computational Biology and Chemistry",2714,30521,10409,"1476-9271"
"http://ma-graph.org/entity/104993753","Developmental Dynamics",5030,185310,9319,"1058-8388"
"http://ma-graph.org/entity/105158365","Revista Colombiana de Química",1101,473,12240,"0120-2804"
"http://ma-graph.org/entity/105204244","Texas Law Review",1040,4792,11262,"0040-4411"
"http://ma-graph.org/entity/105208853","Journal of Chemical Education",44664,147873,8112,"0021-9584"
"http://ma-graph.org/entity/105236765","Contemporary Psychoanalysis",2051,12494,10819,"0010-7530"
"http://ma-graph.org/entity/105243760","Applied Physics Letters",123760,3672530,5703,"0003-6951"
"http://ma-graph.org/entity/105513329","Clinical Ophthalmology",4425,20980,10514,"1177-5467"
"http://ma-graph.org/entity/105556297","Comparative Political Studies",2126,63633,9849,"0010-4140"
"http://ma-graph.org/entity/105625036","Journal of Healthcare Management",1250,9313,11386,"1096-9012"
"http://ma-graph.org/entity/105637830","Chemische Berichte",18735,310893,8039,"0365-9496"
"http://ma-graph.org/entity/105677331","African Arts",3464,6006,10621,"0001-9933"
"http://ma-graph.org/entity/105693234","Probability Theory and Related Fields",4738,104762,8959,"0178-8051"
"http://ma-graph.org/entity/105791650","Molecular Diversity",1195,14688,11443,"1381-1991"
"http://ma-graph.org/entity/105977992","Journal of Geometry and Physics",3489,32773,10173,"0393-0440"
"http://ma-graph.org/entity/106098198","Oxford Review of Economic Policy",1062,45823,10261,"0266-903X"
"http://ma-graph.org/entity/106302738","Semiconductor Science and Technology",9525,98568,9092,"0268-1242"
"http://ma-graph.org/entity/106486924","Algebraic &amp; Geometric Topology",1562,13079,10969,"1472-2747"
"http://ma-graph.org/entity/10652568","Circulation Research",22072,1291713,7188,"0009-7330"
"http://ma-graph.org/entity/106535470","Acta Geotechnica",730,6654,12039,"1861-1125"
"http://ma-graph.org/entity/10668961","Journal of Experimental Psychology: Animal Behavior Processes",1422,63817,10331,"2329-8456"
"http://ma-graph.org/entity/106702950","The American Review of Public Administration",1614,19217,10979,"0275-0740"
"http://ma-graph.org/entity/106822843","Social Science &amp; Medicine",19341,717611,7605,"0277-9536"
"http://ma-graph.org/entity/106835946","Byzantinische Zeitschrift",3095,932,11056,"0007-7704"
"http://ma-graph.org/entity/106963461","Nature Biotechnology",14238,862294,7712,"1087-0156"
"http://ma-graph.org/entity/107049385","The British Journal for the Philosophy of Science",2608,30609,10123,"0007-0882"
"http://ma-graph.org/entity/107133554","Astronomy and Computing",267,1428,13264,"2213-1337"
"http://ma-graph.org/entity/107187345","Antibiotics and Chemotherapy",1854,11539,10906,"0066-4758"
"http://ma-graph.org/entity/107213193","Social Cognitive and Affective Neuroscience",1636,43913,10970,"1749-5016"
"http://ma-graph.org/entity/107255770","Organic Process Research &amp; Development",3986,53763,10125,"1083-6160"
"http://ma-graph.org/entity/107381699","International Journal of Hyperthermia",2485,46882,10412,"1464-5157"
"http://ma-graph.org/entity/107472416","Journal of the Renin-Angiotensin-Aldosterone System",1074,11759,11673,"1470-3203"
"http://ma-graph.org/entity/107525555","Journal of the History of Medicine and Allied Sciences",3049,8012,10665,"0022-5045"
"http://ma-graph.org/entity/107571054","School Psychology International",1374,20979,11124,"0143-0343"
"http://ma-graph.org/entity/107799410","BMC Nursing",484,5223,12342,"1472-6955"
"http://ma-graph.org/entity/107859076","Journal of Biological Inorganic Chemistry",2464,53645,10384,"0949-8257"
"http://ma-graph.org/entity/107859553","International Small Business Journal",1873,39001,10857,"0266-2426"
"http://ma-graph.org/entity/107905979","Arthroscopy",9843,241387,8803,"0749-8063"
"http://ma-graph.org/entity/107914479","University of Pennsylvania Law Review",4125,17778,9773,"0041-9907"
"http://ma-graph.org/entity/107940400","Alces",204,1745,13410,"0835-5851"
"http://ma-graph.org/entity/108008259","Journal of Organometallic Chemistry",40428,588526,7687,"0022-328X"
"http://ma-graph.org/entity/108264734","Psychology in Russia",441,504,13038,"2074-6857"
"http://ma-graph.org/entity/108317044","Communications &amp; Strategies",356,1854,12924,"1157-8637"
"http://ma-graph.org/entity/108417319","Journal of Physics B",25672,181490,8326,"0953-4075"
"http://ma-graph.org/entity/108455820","Australian Economic History Review",1378,2690,11723,"0004-8992"
"http://ma-graph.org/entity/108504264","Expert Review of Cardiovascular Therapy",2041,18480,11067,"1477-9072"
"http://ma-graph.org/entity/108525051","The Journal of Allergy and Clinical Immunology",39921,836213,7495,"0091-6749"
"http://ma-graph.org/entity/108709262","Ratio",791,3697,11616,"0034-0006"
"http://ma-graph.org/entity/108845946","Economica",9908,159423,8492,"0013-0427"
"http://ma-graph.org/entity/108927298","Polar Geography",820,3986,12088,"1088-937X"
"http://ma-graph.org/entity/108944336","Environmental Toxicology and Pharmacology",3066,46549,10568,"1382-6689"
"http://ma-graph.org/entity/10907757","X-Ray Spectrometry",2619,23283,10628,"0049-8246"
"http://ma-graph.org/entity/109682412","Journal of Theoretical Biology",15490,425759,8090,"0022-5193"
"http://ma-graph.org/entity/109698431","English Literary Renaissance",959,2352,11549,"0013-8312"
"http://ma-graph.org/entity/109719883","European Review for Medical and Pharmacological Sciences",4220,26527,10562,"1128-3602"
"http://ma-graph.org/entity/109788769","George Mason Law Review",75,155,14506,"1068-3801"
"http://ma-graph.org/entity/10997704","Theoretical Economics",399,5945,12292,"1555-7561"
"http://ma-graph.org/entity/109998069","Drug and Alcohol Dependence",10154,225286,8942,"0376-8716"
"http://ma-graph.org/entity/110024640","Climacteric",1825,24826,11005,"1369-7137"
"http://ma-graph.org/entity/110151151","Journal of Black Studies",2119,17836,10792,"0021-9347"
"http://ma-graph.org/entity/110213010","Journal of Petrology",3106,219895,9180,"0022-3530"
"http://ma-graph.org/entity/110410232","HSS Journal",635,5350,12266,"1556-3316"
"http://ma-graph.org/entity/110493249","China: An International Journal",426,1475,12674,"0219-7472"
"http://ma-graph.org/entity/110667073","Theory &amp; Psychology",1506,19743,11088,"0959-3543"
"http://ma-graph.org/entity/110755011","Hastings Constitutional Law Quarterly",515,400,12849,"0094-5617"
"http://ma-graph.org/entity/110783047","Living Reviews in Relativity",113,15528,11333,"1433-8351"
"http://ma-graph.org/entity/110809892","International Socialism",41,36,15431,"1754-4653"
"http://ma-graph.org/entity/110848248","Foundations and Trends in Theoretical Computer Science",36,1915,13536,"1551-305X"
"http://ma-graph.org/entity/110886948","International Research in Children&#039;s Literature",313,192,13409,"1755-6198"
"http://ma-graph.org/entity/110965136","Perceptual and Motor Skills",21707,193036,8411,"0031-5125"
"http://ma-graph.org/entity/111116695","Journal of Accounting Research",2475,192824,9087,"0021-8456"
"http://ma-graph.org/entity/111163843","Transfer",306,81,13529,"1024-2589"
"http://ma-graph.org/entity/111228885","Optical Review",2394,11310,10910,"1340-6000"
"http://ma-graph.org/entity/111391483","Acta Archaeologica",504,1086,12653,"0065-101X"
"http://ma-graph.org/entity/111448270","Arctic, Antarctic, and Alpine Research",1380,25654,11117,"1523-0430"
"http://ma-graph.org/entity/111464279","Nucleosides, Nucleotides &amp; Nucleic Acids",5513,36811,10153,"1525-7770"
"http://ma-graph.org/entity/111636273","China Review International",2779,940,11245,"1069-5834"
"http://ma-graph.org/entity/111727011","Neurosurgery",23595,581938,7809,"0148-396X"
"http://ma-graph.org/entity/111927887","Journal of Physics D",29440,432003,7790,"0022-3727"
"http://ma-graph.org/entity/112180307","The Spine Journal",10818,75372,9497,"1529-9430"
"http://ma-graph.org/entity/112414500","Journal of Mental Health",1881,28519,10774,"0963-8237"
"http://ma-graph.org/entity/112560388","Argumentation and Advocacy",794,4378,12038,"0002-8533"
"http://ma-graph.org/entity/112714904","Globalization and Health",672,10432,11799,"1744-8603"
"http://ma-graph.org/entity/11271929","Journal of Ecology",8275,441271,8208,"0022-0477"
"http://ma-graph.org/entity/112821457","The Shakespeare Yearbook",4,0,17891,"1045-9456"
"http://ma-graph.org/entity/112856106","Magnetic Resonance in Chemistry",8932,88269,9447,"0749-1581"
"http://ma-graph.org/entity/112879492","Sojourn",508,1754,12505,"0217-9520"
"http://ma-graph.org/entity/112894455","Journal of Film and Video",621,1030,12455,"0742-4671"
"http://ma-graph.org/entity/112911512","The Journal of Imperial and Commonwealth History",1321,4208,11277,"0308-6534"
"http://ma-graph.org/entity/112974357","Clinical Colorectal Cancer",1047,11863,11628,"1533-0028"
"http://ma-graph.org/entity/113020877","Social Epistemology",903,4286,11905,"0269-1728"
"http://ma-graph.org/entity/113181601","Law &amp; Justice",33,3,15713,"0269-817X"
"http://ma-graph.org/entity/113184965","Deviant Behavior",1333,19369,11193,"0163-9625"
"http://ma-graph.org/entity/113186628","Bioinformatics and Biology Insights",231,1861,13462,"1177-9322"
"http://ma-graph.org/entity/11324131","Journal of Midwifery &amp; Women&#039;s Health",3023,21372,10714,"1526-9523"
"http://ma-graph.org/entity/113337084","Projections",188,524,13690,"1934-9688"
"http://ma-graph.org/entity/113410698","Bulletin de la Société Chimique de France",1979,1024,11624,"0037-8968"
"http://ma-graph.org/entity/113426170","Compensation &amp; Benefits Review",1930,4243,11459,"0886-3687"
"http://ma-graph.org/entity/11350316","Wirtschaftsdienst",9701,3913,10046,"0043-6275"
"http://ma-graph.org/entity/113666273","Languages in Contrast",292,856,13033,"1387-6759"
"http://ma-graph.org/entity/1137746","The Artist and Journal of Home Culture",290,7631,11865,"2151-4879"
"http://ma-graph.org/entity/113778012","The Medieval Review",5051,3,10749,"1096-746X"
"http://ma-graph.org/entity/113911363","African Historical Review",534,438,12816,"1753-2523"
"http://ma-graph.org/entity/11394615","Strategic Organization",358,11356,12209,"1476-1270"
"http://ma-graph.org/entity/113957626","International Journal of Political Economy",584,2281,12381,"0891-1916"
"http://ma-graph.org/entity/114004174","Journal of Early Intervention",1064,17600,11238,"1053-8151"
"http://ma-graph.org/entity/11400418","Journal of Lipid Research",11046,554176,8071,"0022-2275"
"http://ma-graph.org/entity/114241109","IEEE Intelligent Systems",2370,73085,9713,"1541-1672"
"http://ma-graph.org/entity/114252033","Postmodern Culture",859,1316,12077,"1053-1920"
"http://ma-graph.org/entity/114265159","The Bryologist",6349,49274,9783,"0007-2745"
"http://ma-graph.org/entity/114420290","Accounting Perspectives",246,1180,13448,"1499-8653"
"http://ma-graph.org/entity/114448247","Labor: Studies in Working-Class History of the Americas",543,110,12818,"1547-6715"
"http://ma-graph.org/entity/114504424","Language Teaching",530,14259,11379,"0261-4448"
"http://ma-graph.org/entity/114547688","Advances in Electrical and Computer Engineering",748,2577,12323,"1582-7445"
"http://ma-graph.org/entity/114571967","National Institute Economic Review",1051,10797,11321,"0027-9501"
"http://ma-graph.org/entity/114575275","Clinical and Vaccine Immunology",5097,124541,9575,"1556-6811"
"http://ma-graph.org/entity/114672695","Seminars in Cardiothoracic and Vascular Anesthesia",812,5397,11999,"1089-2532"
"http://ma-graph.org/entity/114794932","L&#039;Ann&#x00E9;e Sociologique",560,1124,12471,"0066-2399"
"http://ma-graph.org/entity/114976158","Synthetic Communications",15494,127261,8876,"0039-7911"
"http://ma-graph.org/entity/115019648","Journal of Librarianship and Information Science",2053,6951,11057,"0961-0006"
"http://ma-graph.org/entity/115053721","American Museum Novitates",826,14085,11484,"0003-0082"
"http://ma-graph.org/entity/115248486","Primary Health Care",3597,1743,11012,"0264-5033"
"http://ma-graph.org/entity/115306628","Ukrainian Journal of Physics",827,824,12446,"2071-0186"
"http://ma-graph.org/entity/115510430","Alcoholism: Clinical and Experimental Research",9783,299426,8829,"0145-6008"
"http://ma-graph.org/entity/115511387","Monash University Law Review",355,424,13170,"0311-3140"
"http://ma-graph.org/entity/115516397","Revue économique",10863,18186,9634,"0035-2764"
"http://ma-graph.org/entity/115644834","American Journal of Trial Advocacy",44,23,15416,"0160-0281"
"http://ma-graph.org/entity/115714813","Virology Journal",3444,55299,10408,"1743-422X"
"http://ma-graph.org/entity/115815424","Journal of Invertebrate Pathology",9494,132971,9245,"0022-2011"
"http://ma-graph.org/entity/115869145","Diabetes and Vascular Disease Research",743,11556,11828,"1479-1641"
"http://ma-graph.org/entity/115963699","Room",19,125,15780,"0316-1609"
"http://ma-graph.org/entity/116012647","Annals of Emergency Medicine",24092,277578,8105,"0196-0644"
"http://ma-graph.org/entity/116045149","Journal of Instrumentation",6235,37546,9784,"1748-0221"
"http://ma-graph.org/entity/116196263","Cortex",5317,149759,9355,"0010-9452"
"http://ma-graph.org/entity/116485566","Journal of Receptors and Signal Transduction",1596,19587,11153,"1079-9893"
"http://ma-graph.org/entity/116565926","Youth Violence and Juvenile Justice",392,8455,12403,"1541-2040"
"http://ma-graph.org/entity/116566766","Journal of the American Dental Association",21447,220373,8219,"0002-8177"
"http://ma-graph.org/entity/116826539","JOM",10181,74665,9222,"1047-4838"
"http://ma-graph.org/entity/116836101","Lab on a Chip",6309,222988,9185,"1473-0197"
"http://ma-graph.org/entity/116864755","Journal of Medicine",1617,9237,11318,"0025-7850"
"http://ma-graph.org/entity/116952013","Mennonite Quarterly Review",620,277,12645,"0025-9373"
"http://ma-graph.org/entity/116969037","Arkivoc",4019,17010,10669,"1551-7004"
"http://ma-graph.org/entity/117082959","Energy and Environmental Science",3535,311658,9043,"1754-5692"
"http://ma-graph.org/entity/117154015","Diabetic Hypoglycemia",115,56,14489,"1757-2428"
"http://ma-graph.org/entity/117292697","Liebigs Annalen",1057,8468,11589,"0170-2041"
"http://ma-graph.org/entity/11732831","Environmental Monitoring and Assessment",10794,148180,9262,"0167-6369"
"http://ma-graph.org/entity/117354312","Journal of Biomedical Optics",6192,136117,9364,"1083-3668"
"http://ma-graph.org/entity/117436046","Cybernetics and Systems",1700,21019,10555,"0196-9722"
"http://ma-graph.org/entity/117498271","Cancer Chemotherapy and Pharmacology",8285,161977,9152,"0344-5704"
"http://ma-graph.org/entity/117541660","Journal of Contingencies and Crisis Management",733,11625,11725,"0966-0879"
"http://ma-graph.org/entity/117554745","Early American Literature",899,999,11922,"0012-8163"
"http://ma-graph.org/entity/117679522","International Journal of Applied Mathematics and Computer Science",1215,14523,11267,"1641-876X"
"http://ma-graph.org/entity/117777245","Modelling and Simulation in Materials Science and Engineering",2357,37222,10384,"0965-0393"
"http://ma-graph.org/entity/117778295","Academy of Management Journal",3926,599986,8097,"0001-4273"
"http://ma-graph.org/entity/117810818","Medieval Archaeology",736,2647,11743,"0076-6097"
"http://ma-graph.org/entity/117898428","Cerebral Cortex",5572,383261,8772,"1047-3211"
"http://ma-graph.org/entity/11800902","Postgraduate Medicine",15122,63213,9075,"0032-5481"
"http://ma-graph.org/entity/118162903","Reviews in Mathematical Physics",1048,15919,11032,"0129-055X"
"http://ma-graph.org/entity/118170198","Blumea",1720,8868,11166,"0006-5196"
"http://ma-graph.org/entity/118198609","Emotion",1849,77123,10356,"1528-3542"
"http://ma-graph.org/entity/118201569","Shakespeare Bulletin",986,434,12285,"0748-2558"
"http://ma-graph.org/entity/118315377","The American Journal of Chinese Medicine",2600,35529,10588,"0192-415X"
"http://ma-graph.org/entity/118332200","Addiction Biology",1648,35591,11056,"1355-6215"
"http://ma-graph.org/entity/118357697","Brain",13748,987492,7477,"0006-8950"
"http://ma-graph.org/entity/118364265","The Fletcher Forum of World Affairs",95,187,14475,"1046-1868"
"http://ma-graph.org/entity/118370895","Maine Law Review",525,253,12943,"0025-0651"
"http://ma-graph.org/entity/118545620","IEEE Annals of the History of Computing",1532,9290,11216,"1058-6180"
"http://ma-graph.org/entity/118649763","Seminars in Ophthalmology",1490,12007,11311,"0882-0538"
"http://ma-graph.org/entity/118657254","Transnational Dispute Management",2005,992,11453,"1875-4120"
"http://ma-graph.org/entity/118710943","Logos",2287,1396,11295,"1543-0820"
"http://ma-graph.org/entity/118812498","Annals of Public and Cooperative Economics",2116,9464,11236,"1370-4788"
"http://ma-graph.org/entity/118905211","American Jewish History",968,662,12225,"0164-0178"
"http://ma-graph.org/entity/118949341","T&#039;oung Pao",1444,1643,10686,"0082-5433"
"http://ma-graph.org/entity/118988714","Journal of Machine Learning Research",2285,223284,8894,"1532-4435"
"http://ma-graph.org/entity/118992489","Journal of the ACM",3189,296901,7866,"0004-5411"
"http://ma-graph.org/entity/119010594","International Journal of Damage Mechanics",909,10328,11699,"1056-7895"
"http://ma-graph.org/entity/119040769","Geombinatorics",18,140,15499,"1065-7371"
"http://ma-graph.org/entity/119060959","Journal of Human Development and Capabilities",529,6930,12143,"1945-2829"
"http://ma-graph.org/entity/119146558","Developmental Psychobiology",3197,87656,9979,"0012-1630"
"http://ma-graph.org/entity/119212824","Journal of the Physical Society of Japan",44176,415259,7523,"0031-9015"
"http://ma-graph.org/entity/119230507","Earth and Planetary Science Letters",17303,924249,7673,"0012-821X"
"http://ma-graph.org/entity/11923579","Zeitschrift für Kulturphilosophie",22,3,16179,"1867-1845"
"http://ma-graph.org/entity/119254795","Economic and Political Weekly",6079,19010,10084,"0012-9976"
"http://ma-graph.org/entity/119405978","Annual Review of Ecology, Evolution, and Systematics",1044,340379,8678,"1545-2069"
"http://ma-graph.org/entity/119477091","European Journal of Pharmaceutical Sciences",5688,113420,9670,"0928-0987"
"http://ma-graph.org/entity/119483640","Educational Studies in Mathematics",2177,54910,10044,"0013-1954"
"http://ma-graph.org/entity/119510258","Contributions to Indian Sociology",1510,4883,11334,"0069-9667"
"http://ma-graph.org/entity/119636414","Experimental Mathematics",1170,13572,10974,"1058-6458"
"http://ma-graph.org/entity/119692824","Radical History Review",1535,4604,11127,"0163-6545"
"http://ma-graph.org/entity/119771102","International Journal of Language &amp; Communication Disorders",2177,36720,10561,"1368-2822"
"http://ma-graph.org/entity/119786188","Zoologicheskii Zhurnal",1509,1030,11855,"0044-5134"
"http://ma-graph.org/entity/119805299","International Journal of Music Education",1066,4750,11748,"0255-7614"
"http://ma-graph.org/entity/119914596","Infection",8586,70791,9462,"0300-8126"
"http://ma-graph.org/entity/120139636","Surface Science Reports",366,61970,10205,"0167-5729"
"http://ma-graph.org/entity/120171627","International Journal of Astrobiology",689,5719,12220,"1473-5504"
"http://ma-graph.org/entity/120253869","Review of Economics of the Household",517,6754,12279,"1569-5239"
"http://ma-graph.org/entity/120324992","OncoTargets and Therapy",3187,13467,10999,"1178-6930"
"http://ma-graph.org/entity/120392215","Nature Photonics",3293,206982,8878,"1749-4885"
"http://ma-graph.org/entity/120397320","Nature Reviews Gastroenterology &amp; Hepatology",2247,37420,10772,"1759-5045"
"http://ma-graph.org/entity/120433428","Duke Law Journal",1992,7840,10470,"0012-7086"
"http://ma-graph.org/entity/120498177","International Journal of Sexual Health",339,2261,13041,"1931-7611"
"http://ma-graph.org/entity/120542032","English Language and Linguistics",862,3406,12011,"1360-6743"
"http://ma-graph.org/entity/120611555","Asian Journal of Transfusion Science",451,1718,12820,"0973-6247"
"http://ma-graph.org/entity/120792344","Professional Ethics",232,469,13539,"1063-6579"
"http://ma-graph.org/entity/121010296","Perspectives in Vascular Surgery and Endovascular Therapy",4236,6564,10722,"1531-0035"
"http://ma-graph.org/entity/121195568","African Journal of Marine Science",1704,26370,11020,"1814-232X"
"http://ma-graph.org/entity/121204338","Hispanic Journal of Behavioral Sciences",1188,34070,10719,"0739-9863"
"http://ma-graph.org/entity/121299002","Analysis",5214,31138,9580,"0003-2638"
"http://ma-graph.org/entity/121340927","Journal of Comparative and Physiological Psychology",5678,228119,8549,"0021-9940"
"http://ma-graph.org/entity/121640476","Journal of Chinese Religions",327,352,12764,"0737-769X"
"http://ma-graph.org/entity/121645359","Acta Crystallographica",6393,162675,8360,"2053-2733"
