"","journal","Categories"
"50","http://ma-graph.org/entity/100460328","Multidisciplinary (Q3)"
"51","http://ma-graph.org/entity/100482762","Chemical Engineering (miscellaneous) (Q2); Energy Engineering and Power Technology (Q2); Fuel Technology (Q2); Geotechnical Engineering and Engineering Geology (Q2); Mechanical Engineering (Q2)"
"53","http://ma-graph.org/entity/1005214330","Neurology (clinical) (Q4)"
"57","http://ma-graph.org/entity/10055403","Information Systems (Q2); Library and Information Sciences (Q2)"
"58","http://ma-graph.org/entity/1005615367","Energy Engineering and Power Technology (Q2); Mechanical Engineering (Q2); Process Chemistry and Technology (Q2); Fuel Technology (Q3)"
"60","http://ma-graph.org/entity/10058814","Endocrinology (Q2); Endocrinology, Diabetes and Metabolism (Q2); Hepatology (Q2); Internal Medicine (Q2)"
"62","http://ma-graph.org/entity/1006027302","Pollution (Q4); Waste Management and Disposal (Q4)"
"63","http://ma-graph.org/entity/100611479","Applied Mathematics (Q3); Computational Mathematics (Q3); Computer Science Applications (Q3)"
"64","http://ma-graph.org/entity/100619888","Language and Linguistics (Q2); Linguistics and Language (Q2); Sociology and Political Science (Q3)"
"65","http://ma-graph.org/entity/100638937","Anthropology (Q2); Arts and Humanities (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2)"
"66","http://ma-graph.org/entity/100649693","Computer Science Applications (Q1); Language and Linguistics (Q1); Linguistics and Language (Q1)"
"69","http://ma-graph.org/entity/100662317","Ecology, Evolution, Behavior and Systematics (Q2); Insect Science (Q2); Physiology (Q3)"
"72","http://ma-graph.org/entity/100674681","Medicine (miscellaneous) (Q1); Cancer Research (Q2); Oncology (Q2)"
"74","http://ma-graph.org/entity/100695177","Astronomy and Astrophysics (Q1); Space and Planetary Science (Q1)"
"75","http://ma-graph.org/entity/1007010380","Classics (Q4); Literature and Literary Theory (Q4)"
"76","http://ma-graph.org/entity/100706773","Philosophy (Q1)"
"78","http://ma-graph.org/entity/100736837","Surgery (Q1)"
"80","http://ma-graph.org/entity/1007592500","Literature and Literary Theory"
"82","http://ma-graph.org/entity/100777832","Architecture (Q1); Cultural Studies (Q1); Arts and Humanities (miscellaneous) (Q2); Building and Construction (Q3); Civil and Structural Engineering (Q3)"
"83","http://ma-graph.org/entity/100787194","Ecology, Evolution, Behavior and Systematics (Q2); Plant Science (Q2)"
"84","http://ma-graph.org/entity/100792175","Economic Geology (Q2); Geochemistry and Petrology (Q3); Geology (Q3)"
"85","http://ma-graph.org/entity/100825659","Earth and Planetary Sciences (miscellaneous) (Q4); Environmental Science (miscellaneous) (Q4); Pollution (Q4)"
"87","http://ma-graph.org/entity/100849232","Ophthalmology (Q1)"
"90","http://ma-graph.org/entity/100870220","Literature and Literary Theory (Q2); Visual Arts and Performing Arts (Q2); Cultural Studies (Q3); History (Q3)"
"91","http://ma-graph.org/entity/1008794991","Education (Q3); Physical Therapy, Sports Therapy and Rehabilitation (Q3)"
"95","http://ma-graph.org/entity/100920005","Library and Information Sciences (Q1)"
"99","http://ma-graph.org/entity/1009874106","Political Science and International Relations (Q3)"
"100","http://ma-graph.org/entity/101014958","Organic Chemistry (Q3); Physical and Theoretical Chemistry (Q3)"
"101","http://ma-graph.org/entity/101015832","Health (social science) (Q3); Life-span and Life-course Studies (Q3); Medicine (miscellaneous) (Q3); Social Work (Q3)"
"102","http://ma-graph.org/entity/1010174431","Anthropology (Q1); Archeology (Q1); Archeology (arts and humanities) (Q1); Cultural Studies (Q1); History (Q1)"
"103","http://ma-graph.org/entity/1010243106","Archeology (Q2); Archeology (arts and humanities) (Q2)"
"105","http://ma-graph.org/entity/101036573","Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q1)"
"106","http://ma-graph.org/entity/1010394304","Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Immunology and Microbiology (miscellaneous)  (Q2); Medicine (miscellaneous) (Q2)"
"107","http://ma-graph.org/entity/1010512685","Ecology (Q3)"
"108","http://ma-graph.org/entity/101069391","Agricultural and Biological Sciences (miscellaneous) (Q3); Veterinary (miscellaneous) (Q3)"
"109","http://ma-graph.org/entity/10107356","Law (Q1); Medicine (miscellaneous) (Q2); Pathology and Forensic Medicine (Q2)"
"111","http://ma-graph.org/entity/101084935","History (Q2); Political Science and International Relations (Q4); Sociology and Political Science (Q4)"
"113","http://ma-graph.org/entity/101107869","Medicine (miscellaneous) (Q1); Toxicology (Q1)"
"114","http://ma-graph.org/entity/1011129243","Literature and Literary Theory (Q4)"
"115","http://ma-graph.org/entity/101120184","Political Science and International Relations (Q2)"
"116","http://ma-graph.org/entity/1011389943","Arts and Humanities (miscellaneous) (Q4)"
"118","http://ma-graph.org/entity/101163346","Strategy and Management (Q2)"
"121","http://ma-graph.org/entity/101209419","Development (Q1); Economics and Econometrics (Q1)"
"122","http://ma-graph.org/entity/101229256","Aquatic Science (Q1); Oceanography (Q1); Pollution (Q1)"
"123","http://ma-graph.org/entity/101245202","Applied Psychology (Q1); Health (social science) (Q1); Social Psychology (Q1)"
"124","http://ma-graph.org/entity/101267242","History (Q4); Sociology and Political Science (Q4)"
"125","http://ma-graph.org/entity/101276479","Industrial and Manufacturing Engineering (Q3); Food Science (Q4); Law (Q4)"
"126","http://ma-graph.org/entity/101278519","Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
"128","http://ma-graph.org/entity/101287785","Bioengineering (Q1); Biomaterials (Q1); Biophysics (Q1); Drug Discovery (Q1); Medicine (miscellaneous) (Q1); Organic Chemistry (Q1); Pharmaceutical Science (Q1); Nanoscience and Nanotechnology (Q2)"
"133","http://ma-graph.org/entity/101328740","Archeology (Q1); Archeology (arts and humanities) (Q1); Arts and Humanities (miscellaneous) (Q1)"
"134","http://ma-graph.org/entity/101351556","Biomedical Engineering (Q2); Transplantation (Q2); Biomaterials (Q3); Cell Biology (Q3)"
"136","http://ma-graph.org/entity/1013561213","Ecology (Q3); Horticulture (Q3); Plant Science (Q3)"
"137","http://ma-graph.org/entity/101378441","Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2); Social Work (Q3)"
"138","http://ma-graph.org/entity/101403447","Oral Surgery (Q3); Surgery (Q3)"
"141","http://ma-graph.org/entity/101466443","Condensed Matter Physics (Q3)"
"142","http://ma-graph.org/entity/101472891","Chemistry (miscellaneous) (Q1); Condensed Matter Physics (Q2); Materials Science (miscellaneous) (Q2)"
"151","http://ma-graph.org/entity/101601864","Education (Q4)"
"152","http://ma-graph.org/entity/1016111185","Cultural Studies (Q4); History (Q4); Literature and Literary Theory (Q4); Religious Studies (Q4)"
"156","http://ma-graph.org/entity/101670428","Surgery (Q4)"
"157","http://ma-graph.org/entity/1016851335","Music (Q4); Visual Arts and Performing Arts (Q4)"
"162","http://ma-graph.org/entity/1017704","Neurology (clinical) (Q3)"
"163","http://ma-graph.org/entity/1017791164","Religious Studies (Q3)"
"164","http://ma-graph.org/entity/101788309","Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1)"
"169","http://ma-graph.org/entity/1018428868","Materials Science (miscellaneous) (Q3)"
"171","http://ma-graph.org/entity/10186584","Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
"173","http://ma-graph.org/entity/101887095","Neurology (Q2); Neurology (clinical) (Q2)"
"174","http://ma-graph.org/entity/1018993481","Visual Arts and Performing Arts (Q4)"
"176","http://ma-graph.org/entity/101923274","Mechanics of Materials (Q4); Physics and Astronomy (miscellaneous) (Q4)"
"177","http://ma-graph.org/entity/101936814","Control and Systems Engineering (Q2); Industrial and Manufacturing Engineering (Q2); Information Systems (Q2); Applied Mathematics (Q3); Artificial Intelligence (Q3); Logic (Q3); Management Science and Operations Research (Q3); Theoretical Computer Science (Q3)"
"179","http://ma-graph.org/entity/10195028","Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1)"
"180","http://ma-graph.org/entity/1019606","Biophysics (Q3); Chemistry (miscellaneous) (Q3); Medicine (miscellaneous) (Q3); Biochemistry (Q4)"
"182","http://ma-graph.org/entity/101983704","Language and Linguistics (Q3); Linguistics and Language (Q3); Communication (Q4); Developmental and Educational Psychology (Q4); Experimental and Cognitive Psychology (Q4)"
"184","http://ma-graph.org/entity/101987544","Histology (Q2); Medicine (miscellaneous) (Q2); Pathology and Forensic Medicine (Q2)"
"190","http://ma-graph.org/entity/1020460459","Literature and Literary Theory (Q3)"
"192","http://ma-graph.org/entity/102063886","Ocean Engineering (Q2); Oceanography (Q3)"
"193","http://ma-graph.org/entity/10207311","Cultural Studies (Q2); Social Sciences (miscellaneous) (Q3); Clinical Psychology (Q4); Experimental and Cognitive Psychology (Q4)"
"196","http://ma-graph.org/entity/1020798745","Neurology (Q4); Neurology (clinical) (Q4)"
"202","http://ma-graph.org/entity/102131606","Medicine (miscellaneous) (Q1); Biochemistry (medical) (Q2); Pharmacology (medical) (Q2); Pulmonary and Respiratory Medicine (Q2)"
"203","http://ma-graph.org/entity/102140811","Gender Studies (Q1); Education (Q2); Medicine (miscellaneous) (Q2); Psychology (miscellaneous) (Q2); Social Psychology (Q2)"
"205","http://ma-graph.org/entity/102185553","Occupational Therapy (Q1); Medicine (miscellaneous) (Q2); Pediatrics, Perinatology and Child Health (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2); Rehabilitation (Q2)"
"207","http://ma-graph.org/entity/1022230473","Religious Studies (Q4)"
"208","http://ma-graph.org/entity/102224481","Endocrinology (Q3); Endocrinology, Diabetes and Metabolism (Q3)"
"212","http://ma-graph.org/entity/102243518","Behavioral Neuroscience (Q1); Endocrine and Autonomic Systems (Q1); Immunology (Q1)"
"214","http://ma-graph.org/entity/102250854","Cultural Studies (Q1); Philosophy (Q1); Religious Studies (Q1)"
"215","http://ma-graph.org/entity/102275153","Music (Q1); Visual Arts and Performing Arts (Q1)"
"216","http://ma-graph.org/entity/102275404","Ecology, Evolution, Behavior and Systematics (Q3); Geology (Q3)"
"217","http://ma-graph.org/entity/102275522","Medicine (miscellaneous) (Q2); Nutrition and Dietetics (Q2)"
"218","http://ma-graph.org/entity/102276873","Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q2); Physics and Astronomy (miscellaneous) (Q2)"
"224","http://ma-graph.org/entity/102349131","History (Q1); Nursing (miscellaneous) (Q2); Medicine (miscellaneous) (Q3)"
"225","http://ma-graph.org/entity/102358323","Electrical and Electronic Engineering (Q4)"
"227","http://ma-graph.org/entity/102386206","History (Q1)"
"229","http://ma-graph.org/entity/102399824","Social Sciences (miscellaneous) (Q2); Statistics and Probability (Q3)"
"230","http://ma-graph.org/entity/1024009979","History (Q1); Religious Studies (Q1)"
"239","http://ma-graph.org/entity/1025063068","Psychology (miscellaneous) (Q1)"
"240","http://ma-graph.org/entity/1025118869","Geochemistry and Petrology (Q1); Geology (Q1)"
"245","http://ma-graph.org/entity/102543962","Forestry (Q1); Industrial and Manufacturing Engineering (Q1); Materials Science (miscellaneous) (Q2); Plant Science (Q2)"
"246","http://ma-graph.org/entity/102549058","Microbiology (Q1); Molecular Biology (Q1)"
"249","http://ma-graph.org/entity/1025712378","Language and Linguistics (Q4); Linguistics and Language (Q4); Literature and Literary Theory (Q4)"
"251","http://ma-graph.org/entity/1025762778","Philosophy (Q2); Ecology (Q3); Psychiatry and Mental Health (Q3)"
"252","http://ma-graph.org/entity/102581529","Genetics (clinical) (Q3); Immunology and Allergy (Q3); Pulmonary and Respiratory Medicine (Q3)"
"253","http://ma-graph.org/entity/1025827383","Anthropology (Q2); Cultural Studies (Q2)"
"262","http://ma-graph.org/entity/1026551105","History and Philosophy of Science (Q4); Philosophy (Q4)"
"264","http://ma-graph.org/entity/102681701","Materials Science (miscellaneous) (Q1); Mechanical Engineering (Q1); Nuclear and High Energy Physics (Q1); Nuclear Energy and Engineering (Q1); Safety, Risk, Reliability and Quality (Q1); Waste Management and Disposal (Q1)"
"265","http://ma-graph.org/entity/102688084","Literature and Literary Theory (Q3)"
"269","http://ma-graph.org/entity/102728161","Atomic and Molecular Physics, and Optics (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Mechanical Engineering (Q1)"
"273","http://ma-graph.org/entity/102744128","Dermatology (Q3)"
"274","http://ma-graph.org/entity/102761225","History (Q2)"
"277","http://ma-graph.org/entity/1028556770","Arts and Humanities (miscellaneous) (Q4); Cognitive Neuroscience (Q4); Social Sciences (miscellaneous) (Q4)"
"278","http://ma-graph.org/entity/102860386","Critical Care and Intensive Care Medicine (Q1); Nutrition and Dietetics (Q1)"
"279","http://ma-graph.org/entity/10288104","Social Psychology (Q1)"
"280","http://ma-graph.org/entity/102890038","Education (Q2)"
"282","http://ma-graph.org/entity/102896891","Applied Psychology (Q1); Marketing (Q1)"
"286","http://ma-graph.org/entity/102916872","Oncology (Q1); Oral Surgery (Q1); Cancer Research (Q2)"
"288","http://ma-graph.org/entity/102949365","Business and International Management (Q1); Strategy and Management (Q1)"
"289","http://ma-graph.org/entity/102976925","Literature and Literary Theory (Q4)"
"292","http://ma-graph.org/entity/1029951169","Philosophy (Q4)"
"294","http://ma-graph.org/entity/1030393547","Agricultural and Biological Sciences (miscellaneous) (Q2)"
"295","http://ma-graph.org/entity/1030498949","Atomic and Molecular Physics, and Optics (Q3); Instrumentation (Q3)"
"296","http://ma-graph.org/entity/103059793","Dermatology (Q1); Pathology and Forensic Medicine (Q1)"
"297","http://ma-graph.org/entity/1030600052","Education (Q4); Physical Therapy, Sports Therapy and Rehabilitation (Q4); Sports Science (Q4)"
"298","http://ma-graph.org/entity/103097414","Pollution (Q1); Environmental Chemistry (Q2)"
"299","http://ma-graph.org/entity/1031084011","Oncology (Q2)"
"300","http://ma-graph.org/entity/1031404262","History (Q3)"
"303","http://ma-graph.org/entity/1031674767","Building and Construction (Q3); Materials Science (miscellaneous) (Q3)"
"304","http://ma-graph.org/entity/1031772518","Literature and Literary Theory (Q3)"
"308","http://ma-graph.org/entity/103229351","Music (Q1); Visual Arts and Performing Arts (Q1); Engineering (miscellaneous) (Q2); Computer Science Applications (Q4)"
"311","http://ma-graph.org/entity/103271999","Language and Linguistics (Q3); Linguistics and Language (Q3)"
"312","http://ma-graph.org/entity/103284624","Aquatic Science (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Management, Monitoring, Policy and Law (Q1); Oceanography (Q1)"
"314","http://ma-graph.org/entity/103311983","Business and International Management (Q1); Communication (Q1); Marketing (Q1)"
"318","http://ma-graph.org/entity/103352712","Multidisciplinary (Q1); Education (Q2)"
"320","http://ma-graph.org/entity/103356783","Animal Science and Zoology (Q1); Plant Science (Q1)"
"321","http://ma-graph.org/entity/103359281","Health Policy (Q1)"
"325","http://ma-graph.org/entity/103398315","Analytical Chemistry (Q1); Atomic and Molecular Physics, and Optics (Q1); Instrumentation (Q1); Spectroscopy (Q2)"
"326","http://ma-graph.org/entity/1034150229","Literature and Literary Theory (Q2)"
"331","http://ma-graph.org/entity/103446830","Cardiology and Cardiovascular Medicine (Q1); Genetics (Q1); Genetics (clinical) (Q1); Medicine (miscellaneous) (Q1)"
"332","http://ma-graph.org/entity/1034531374","Archeology (Q4); Archeology (arts and humanities) (Q4)"
"334","http://ma-graph.org/entity/1034789842","Aquatic Science (Q4); Oceanography (Q4)"
"335","http://ma-graph.org/entity/103486911","Agronomy and Crop Science (Q2); Analytical Chemistry (Q3); Environmental Chemistry (Q3); Food Science (Q3); Pharmacology (Q3)"
"340","http://ma-graph.org/entity/103640237","Computer Networks and Communications (Q3); Computer Science Applications (Q4); Education (Q4); E-learning (Q4)"
"342","http://ma-graph.org/entity/103647685","Communication (Q1); Education (Q1); E-learning (Q1); Developmental and Educational Psychology (Q2)"
"343","http://ma-graph.org/entity/1036480844","Chemistry (miscellaneous) (Q4)"
"344","http://ma-graph.org/entity/103663982","Dentistry (miscellaneous) (Q1)"
"347","http://ma-graph.org/entity/103671469","Computational Theory and Mathematics (Q2); Discrete Mathematics and Combinatorics (Q2); Geometry and Topology (Q2); Theoretical Computer Science (Q2)"
"349","http://ma-graph.org/entity/103676256","Medicine (miscellaneous) (Q3)"
"352","http://ma-graph.org/entity/1036869988","Industrial and Manufacturing Engineering (Q3); Materials Science (miscellaneous) (Q3)"
"355","http://ma-graph.org/entity/103771297","Cell Biology (Q1)"
"359","http://ma-graph.org/entity/103858575","History; Public Administration; Sociology and Political Science"
"360","http://ma-graph.org/entity/103870658","Cancer Research (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Genetics (Q1); Genetics (clinical) (Q1); Molecular Biology (Q1)"
"365","http://ma-graph.org/entity/103897674","Microbiology (Q2)"
"366","http://ma-graph.org/entity/1039068550","Agricultural and Biological Sciences (miscellaneous) (Q3); Applied Mathematics (Q4); Statistics and Probability (Q4)"
"370","http://ma-graph.org/entity/103961758","Biochemistry (medical) (Q3); Hematology (Q3); Medicine (miscellaneous) (Q3); Clinical Biochemistry (Q4)"
"371","http://ma-graph.org/entity/1039677343","Religious Studies (Q3); Archeology (Q4); Archeology (arts and humanities) (Q4)"
"373","http://ma-graph.org/entity/103987019","History and Philosophy of Science (Q3); Computer Science Applications (Q4); Health Informatics (Q4)"
"374","http://ma-graph.org/entity/1040244895","Analysis (Q4); Applied Mathematics (Q4); Mathematics (miscellaneous) (Q4); Statistics and Probability (Q4)"
"378","http://ma-graph.org/entity/104092111","Civil and Structural Engineering (Q2); Materials Science (miscellaneous) (Q2); Mechanical Engineering (Q2); Nuclear and High Energy Physics (Q2); Nuclear Energy and Engineering (Q2)"
"379","http://ma-graph.org/entity/1041020752","Gender Studies (Q4); Visual Arts and Performing Arts (Q4)"
"381","http://ma-graph.org/entity/104148093","History (Q4)"
"382","http://ma-graph.org/entity/104160329","Earth-Surface Processes (Q3); Geography, Planning and Development (Q4)"
"385","http://ma-graph.org/entity/1041805121","Medicine (miscellaneous) (Q3)"
"387","http://ma-graph.org/entity/104198154","Biochemistry (Q4); Pharmacology (Q4)"
"388","http://ma-graph.org/entity/104206441","Education (Q3)"
"390","http://ma-graph.org/entity/10422625","Clinical Biochemistry (Q2); Medicine (miscellaneous) (Q2); Nutrition and Dietetics (Q2)"
"391","http://ma-graph.org/entity/10422724","Cardiology and Cardiovascular Medicine (Q3); Emergency Medicine (Q3); Radiology, Nuclear Medicine and Imaging (Q4)"
"392","http://ma-graph.org/entity/10422866","Pharmaceutical Science (Q1); Biochemistry (Q2); Clinical Biochemistry (Q2); Drug Discovery (Q2); Organic Chemistry (Q2); Molecular Biology (Q3); Molecular Medicine (Q3)"
"393","http://ma-graph.org/entity/104231055","Neurology (clinical) (Q3); Surgery (Q3)"
"395","http://ma-graph.org/entity/1042507638","Medicine (miscellaneous) (Q3); Orthopedics and Sports Medicine (Q3); Podiatry (Q3)"
"399","http://ma-graph.org/entity/1043140957","Literature and Literary Theory (Q4)"
"401","http://ma-graph.org/entity/1043257","Hematology (Q1); Medicine (miscellaneous) (Q1); Radiology, Nuclear Medicine and Imaging (Q1); Oncology (Q2)"
"402","http://ma-graph.org/entity/104326867","Civil and Structural Engineering (Q4); Management Science and Operations Research (Q4); Mechanical Engineering (Q4)"
"404","http://ma-graph.org/entity/104354167","Economics and Econometrics (Q3)"
"405","http://ma-graph.org/entity/104354797","Control and Optimization (Q1); Applied Mathematics (Q2)"
"406","http://ma-graph.org/entity/104375418","Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)"
"407","http://ma-graph.org/entity/104377164","Chiropractics (Q1)"
"409","http://ma-graph.org/entity/104395123","Bioengineering (Q4); Organic Chemistry (Q4)"
"410","http://ma-graph.org/entity/1044067157","Education (Q3)"
"411","http://ma-graph.org/entity/104414929","Ecology, Evolution, Behavior and Systematics (Q1); Medicine (miscellaneous) (Q1); Plant Science (Q1)"
"412","http://ma-graph.org/entity/104415515","Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Medicine (miscellaneous) (Q2)"
"415","http://ma-graph.org/entity/104439334","Artificial Intelligence (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3)"
"416","http://ma-graph.org/entity/1044414490","Medicine (miscellaneous) (Q4)"
"417","http://ma-graph.org/entity/104442948","Otorhinolaryngology (Q3); Surgery (Q3)"
"418","http://ma-graph.org/entity/1044485955","Veterinary (miscellaneous) (Q4)"
"421","http://ma-graph.org/entity/10446503","Health, Toxicology and Mutagenesis (Q1); Public Health, Environmental and Occupational Health (Q1)"
"422","http://ma-graph.org/entity/104471971","Pulmonary and Respiratory Medicine (Q2)"
"424","http://ma-graph.org/entity/104503141","Cultural Studies (Q1); Political Science and International Relations (Q2)"
"427","http://ma-graph.org/entity/104568202","Education (Q1); Public Administration (Q1)"
"428","http://ma-graph.org/entity/104576203","Cardiology and Cardiovascular Medicine (Q1); Medicine (miscellaneous) (Q1)"
"429","http://ma-graph.org/entity/104593340","Earth-Surface Processes (Q3); Geography, Planning and Development (Q3)"
"430","http://ma-graph.org/entity/104597489","Ecology (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1)"
"434","http://ma-graph.org/entity/104733706","History (Q2); Gender Studies (Q3)"
"435","http://ma-graph.org/entity/104737098","Building and Construction (Q2); Civil and Structural Engineering (Q2)"
"436","http://ma-graph.org/entity/104741914","Medicine (miscellaneous) (Q2); Obstetrics and Gynecology (Q2)"
"437","http://ma-graph.org/entity/104767144","Literature and Literary Theory (Q2)"
"438","http://ma-graph.org/entity/104797584","Artificial Intelligence (Q1); Theoretical Computer Science (Q1)"
"441","http://ma-graph.org/entity/104840215","History (Q3)"
"445","http://ma-graph.org/entity/104924063","Computational Mathematics (Q2); Biochemistry (Q3); Organic Chemistry (Q3); Structural Biology (Q4)"
"446","http://ma-graph.org/entity/104939991","Clinical Psychology (Q2)"
"448","http://ma-graph.org/entity/104993753","Developmental Biology (Q2)"
"451","http://ma-graph.org/entity/105053347","Gender Studies (Q3)"
"452","http://ma-graph.org/entity/105066276","Health Policy (Q1); Public Health, Environmental and Occupational Health (Q1)"
"453","http://ma-graph.org/entity/105067899","Inorganic Chemistry (Q1)"
"454","http://ma-graph.org/entity/105078976","Parasitology (Q2)"
"455","http://ma-graph.org/entity/105087119","Archeology (Q1); History (Q1); Oceanography (Q3); Paleontology (Q3)"
"457","http://ma-graph.org/entity/105158365","Chemistry (miscellaneous) (Q3)"
"458","http://ma-graph.org/entity/105183386","Biochemistry (Q3); Molecular Biology (Q4)"
"459","http://ma-graph.org/entity/105204244","Law (Q1)"
"460","http://ma-graph.org/entity/105208853","Chemistry (miscellaneous) (Q2); Education (Q2)"
"461","http://ma-graph.org/entity/105236765","Clinical Psychology (Q2); Psychiatry and Mental Health (Q2)"
"462","http://ma-graph.org/entity/105243760","Physics and Astronomy (miscellaneous) (Q1)"
"463","http://ma-graph.org/entity/105252228","Food Science (Q3)"
"466","http://ma-graph.org/entity/105355132","Business and International Management (Q4); Business, Management and Accounting (miscellaneous) (Q4); Economics and Econometrics (Q4)"
"467","http://ma-graph.org/entity/105379996","Cultural Studies (Q1); Gender Studies (Q2)"
"470","http://ma-graph.org/entity/105430050","Law (Q1); Political Science and International Relations (Q1); Economics and Econometrics (Q2)"
"471","http://ma-graph.org/entity/105482265","Social Psychology (Q2); Developmental and Educational Psychology (Q3)"
"472","http://ma-graph.org/entity/105492962","Physics and Astronomy (miscellaneous) (Q4)"
"473","http://ma-graph.org/entity/105500771","Astronomy and Astrophysics (Q2); Space and Planetary Science (Q2)"
"474","http://ma-graph.org/entity/105513329","Ophthalmology (Q1)"
"478","http://ma-graph.org/entity/105556297","Sociology and Political Science (Q1)"
"479","http://ma-graph.org/entity/105584983","Decision Sciences (miscellaneous) (Q4)"
"481","http://ma-graph.org/entity/105625036","Leadership and Management (Q2); Health Policy (Q3); Medicine (miscellaneous) (Q3); Strategy and Management (Q3)"
"484","http://ma-graph.org/entity/105649085","Critical Care and Intensive Care Medicine (Q3); Pulmonary and Respiratory Medicine (Q4)"
"485","http://ma-graph.org/entity/105677331","Literature and Literary Theory (Q1); Visual Arts and Performing Arts (Q1)"
"486","http://ma-graph.org/entity/105693234","Analysis (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)"
"487","http://ma-graph.org/entity/105710273","Finance (Q2); Economics and Econometrics (Q3)"
"489","http://ma-graph.org/entity/105770365","Medicine (miscellaneous) (Q3); Public Health, Environmental and Occupational Health (Q3)"
"491","http://ma-graph.org/entity/105775785","Condensed Matter Physics (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1)"
"492","http://ma-graph.org/entity/10577759","Clinical Psychology (Q1); Developmental and Educational Psychology (Q1); Education (Q1); Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q1)"
"493","http://ma-graph.org/entity/105791650","Information Systems (Q2); Medicine (miscellaneous) (Q2); Catalysis (Q3); Drug Discovery (Q3); Inorganic Chemistry (Q3); Organic Chemistry (Q3); Physical and Theoretical Chemistry (Q3); Molecular Biology (Q4)"
"494","http://ma-graph.org/entity/105811054","Energy Engineering and Power Technology (Q4); Fuel Technology (Q4); Industrial Relations (Q4); Strategy and Management (Q4)"
"495","http://ma-graph.org/entity/10581796","Electrical and Electronic Engineering (Q3); Computer Science Applications (Q4)"
"496","http://ma-graph.org/entity/105900847","Management, Monitoring, Policy and Law (Q4)"
